Config,Model,FPR,TPR
contaminated_v1,XGBoost,0.5084784083201447,0.9705996884735203
contaminated_v1,XGBoost,0.5278091792900746,0.9727414330218068
contaminated_v1,XGBoost,0.538322405607054,0.974493769470405
contaminated_v1,XGBoost,0.5584444946868641,0.9764408099688473
contaminated_v1,XGBoost,0.5722360388876329,0.9781931464174455
contaminated_v1,XGBoost,0.5839927650915668,0.9797507788161994
contaminated_v1,XGBoost,0.5993669455120959,0.981892523364486
contaminated_v1,XGBoost,0.6132715351571332,0.9836448598130841
contaminated_v1,XGBoost,0.6257065340266788,0.9848130841121495
contaminated_v1,XGBoost,0.6387067601175672,0.9865654205607477
contaminated_v1,XGBoost,0.6570201220890798,0.9879283489096573
contaminated_v1,XGBoost,0.6836988469364684,0.989291277258567
contaminated_v1,XGBoost,0.7185168437711961,0.9912383177570093
contaminated_v1,XGBoost,0.7545783404928781,0.9927959501557633
contaminated_v1,XGBoost,0.7865702012208908,0.9941588785046729
contaminated_v1,XGBoost,0.8018313361971513,0.9953271028037384
contaminated_v1,XGBoost,0.8352927877006556,0.9964953271028038
contaminated_v1,XGBoost,0.8793805109654081,0.9978582554517134
contaminated_v1,XGBoost,0.9076418720325571,0.9986370716510904
contaminated_v1,XGBoost,0.9496947773004748,0.9992211838006231
contaminated_v1,XGBoost,1.0,1.0
contaminated_v1,LightGBM,0.0,0.0
contaminated_v1,LightGBM,0.0010174089984173638,0.11487538940809969
contaminated_v1,LightGBM,0.0022609088853719197,0.154595015576324
contaminated_v1,LightGBM,0.003391363328057879,0.1923676012461059
contaminated_v1,LightGBM,0.004634863215012435,0.2155373831775701
contaminated_v1,LightGBM,0.006104453990504182,0.2431853582554517
contaminated_v1,LightGBM,0.007460999321727334,0.26732866043613707
contaminated_v1,LightGBM,0.008591453764413294,0.2823208722741433
contaminated_v1,LightGBM,0.009721908207099254,0.2971183800623053
contaminated_v1,LightGBM,0.011078453538322406,0.3076323987538941
contaminated_v1,LightGBM,0.012434998869545558,0.3195093457943925
contaminated_v1,LightGBM,0.013678498756500113,0.33450155763239875
contaminated_v1,LightGBM,0.01514808953199186,0.3411214953271028
contaminated_v1,LightGBM,0.016391589418946417,0.36195482866043616
contaminated_v1,LightGBM,0.017522043861632378,0.37305295950155765
contaminated_v1,LightGBM,0.018652498304318334,0.38161993769470404
contaminated_v1,LightGBM,0.01989599819127289,0.3901869158878505
contaminated_v1,LightGBM,0.021478634411033235,0.4057632398753894
contaminated_v1,LightGBM,0.02306127063079358,0.41705607476635514
contaminated_v1,LightGBM,0.02441781596201673,0.4258177570093458
contaminated_v1,LightGBM,0.02667872484738865,0.43243769470404986
contaminated_v1,LightGBM,0.028035270178611803,0.4411993769470405
contaminated_v1,LightGBM,0.029278770065566357,0.4480140186915888
contaminated_v1,LightGBM,0.0308614062853267,0.4598909657320872
contaminated_v1,LightGBM,0.032104906172281254,0.467095015576324
contaminated_v1,LightGBM,0.0336875423920416,0.47702492211838005
contaminated_v1,LightGBM,0.03515713316753335,0.4842289719626168
contaminated_v1,LightGBM,0.0364006330544879,0.4887071651090343
contaminated_v1,LightGBM,0.03809631471851684,0.4963006230529595
contaminated_v1,LightGBM,0.039905041826814376,0.5052570093457944
contaminated_v1,LightGBM,0.04114854171376894,0.5116822429906542
contaminated_v1,LightGBM,0.042618132489260684,0.5159657320872274
contaminated_v1,LightGBM,0.044765995930364004,0.5218068535825545
contaminated_v1,LightGBM,0.046009495817318564,0.5294003115264797
contaminated_v1,LightGBM,0.04793126836988469,0.5346573208722741
contaminated_v1,LightGBM,0.04940085914537644,0.5385514018691588
contaminated_v1,LightGBM,0.05120958625367398,0.5482866043613707
contaminated_v1,LightGBM,0.05245308614062853,0.555101246105919
contaminated_v1,LightGBM,0.054374858693194666,0.5615264797507789
contaminated_v1,LightGBM,0.05607054035722361,0.5654205607476636
contaminated_v1,LightGBM,0.05776622202125254,0.5704828660436138
contaminated_v1,LightGBM,0.05957494912955008,0.576518691588785
contaminated_v1,LightGBM,0.06115758534931042,0.5808021806853583
contaminated_v1,LightGBM,0.06240108523626498,0.5852803738317757
contaminated_v1,LightGBM,0.06398372145602532,0.5907320872274143
contaminated_v1,LightGBM,0.06579244856432286,0.5983255451713395
contaminated_v1,LightGBM,0.06771422111688899,0.6039719626168224
contaminated_v1,LightGBM,0.06929685733664934,0.6129283489096573
contaminated_v1,LightGBM,0.07110558444494687,0.6193535825545171
contaminated_v1,LightGBM,0.07325344788605019,0.6271417445482866
contaminated_v1,LightGBM,0.07460999321727334,0.6347352024922118
contaminated_v1,LightGBM,0.07641872032557089,0.6413551401869159
contaminated_v1,LightGBM,0.0784535383224056,0.6464174454828661
contaminated_v1,LightGBM,0.08037531087497174,0.6528426791277259
contaminated_v1,LightGBM,0.08173185620619489,0.6594626168224299
contaminated_v1,LightGBM,0.08320144698168663,0.6654984423676013
contaminated_v1,LightGBM,0.08489712864571558,0.6721183800623053
contaminated_v1,LightGBM,0.08681890119828171,0.676791277258567
contaminated_v1,LightGBM,0.08919285552792222,0.6802959501557633
contaminated_v1,LightGBM,0.09224508252317432,0.6857476635514018
contaminated_v1,LightGBM,0.09427990052000905,0.6898364485981309
contaminated_v1,LightGBM,0.09642776396111237,0.6939252336448598
contaminated_v1,LightGBM,0.0982364910694099,0.6976246105919003
contaminated_v1,LightGBM,0.09993217273343884,0.6999610591900312
contaminated_v1,LightGBM,0.10151480895319918,0.7067757009345794
contaminated_v1,LightGBM,0.10343658150576532,0.7095015576323987
contaminated_v1,LightGBM,0.10569749039113724,0.7132009345794392
contaminated_v1,LightGBM,0.10761926294370337,0.7182632398753894
contaminated_v1,LightGBM,0.1094279900520009,0.7219626168224299
contaminated_v1,LightGBM,0.11180194438164141,0.7260514018691588
contaminated_v1,LightGBM,0.11451503504408772,0.7289719626168224
contaminated_v1,LightGBM,0.11722812570653403,0.7328660436137072
contaminated_v1,LightGBM,0.11914989825910016,0.7369548286604362
contaminated_v1,LightGBM,0.1208455799231291,0.7404595015576324
contaminated_v1,LightGBM,0.12288039791996383,0.7476635514018691
contaminated_v1,LightGBM,0.12457607958399276,0.7511682242990654
