batch,policy,run,f1_ftr,f2_breach,f3_workload_sd,f4_expertise,f5_delay_log,hypervolume,first_time_right,sla_breach_rate,workload_sd,expertise_match,delay_hours,capacity_violation,groups_used,max_group_load,matched_fraction,matched_real_breach_rate,front_size
3,NSGA3,4,0.6103719277030908,0.28057809788719773,1.0392304845413265,0.7314974592431853,2.44449361561578,0.08765529688948198,0.6103719277030908,0.28057809788719773,1.0392304845413265,0.7314974592431853,146.7653819444444,0.0,25,4.0,0.075,0.3333333333333333,19.0
3,NSGA3,5,0.6421500327842645,0.2948048399545127,1.4142135623730951,0.8491586585679542,2.4655706816956484,0.09241857944020429,0.6421500327842645,0.2948048399545127,1.4142135623730951,0.8491586585679542,210.91250694444437,0.0,21,6.0,0.1,0.5,14.0
3,NSGA3,6,0.6230366747963316,0.307257525828486,1.216552506059644,0.8308330457527162,2.201447313426057,0.09901560407092241,0.6230366747963316,0.307257525828486,1.216552506059644,0.8308330457527162,175.62765624999994,0.0,22,6.0,0.05,1.0,18.0
3,NSGA3,7,0.6114526134668056,0.31808804287062004,1.1661903789690602,0.832044417610871,2.6181153727391284,0.08862065251397341,0.6114526134668056,0.31808804287062004,1.1661903789690602,0.832044417610871,169.83086458333335,0.0,23,5.0,0.125,0.2,20.0
3,NSGA3,8,0.5832081778811151,0.2889228220703002,0.9797958971132713,0.7400453967294769,1.8577181057144585,0.09673111723297793,0.5832081778811151,0.2889228220703002,0.9797958971132713,0.7400453967294769,78.07622222222223,0.0,26,4.0,0.025,0.0,19.0
3,NSGA3,9,0.618358932904628,0.26995864854235363,1.4832396974191329,0.8489060928829467,2.3476237921020813,0.0908192647586721,0.618358932904628,0.26995864854235363,1.4832396974191329,0.8489060928829467,227.14234374999995,0.0,21,7.0,0.1,0.75,19.0
3,NSGA3,10,0.6111114209454179,0.3078667125588276,1.3114877048604003,0.8667861087810781,1.7571606113426188,0.09869298353686379,0.6111114209454179,0.3078667125588276,1.3114877048604003,0.8667861087810781,61.96007291666666,0.0,22,6.0,0.075,0.3333333333333333,19.0
3,NSGA3,11,0.6373367257252983,0.27448679433701645,1.385640646055102,0.805796297974749,2.286852023954089,0.08676864572668186,0.6373367257252983,0.27448679433701645,1.385640646055102,0.805796297974749,181.30188888888887,0.0,20,6.0,0.05,0.5,17.0
3,NSGA3,12,0.6213038874597595,0.28976477051463095,1.3711309200802089,0.8571909505574261,2.021926795650007,0.09695022484185664,0.6213038874597595,0.28976477051463095,1.3711309200802089,0.8571909505574261,96.71488541666666,0.0,20,6.0,0.05,0.5,18.0
3,NSGA3,13,0.6184669190460748,0.32057901980926884,1.148912529307606,0.8606664511325747,2.5618628472264158,0.09239438869696745,0.6184669190460748,0.32057901980926884,1.148912529307606,0.8606664511325747,211.88462152777774,0.0,23,5.0,0.075,0.6666666666666666,15.0
3,NSGA3,14,0.6129258889222201,0.3197940543295469,1.2328828005937953,0.8535402302720871,2.3668704904804727,0.0931901075340474,0.6129258889222201,0.3197940543295469,1.2328828005937953,0.8535402302720871,167.4040034722222,0.0,22,6.0,0.075,0.3333333333333333,17.0
3,NSGA3,15,0.6230866579164003,0.26371256924466097,1.673320053068151,0.7637996120811239,1.5927144552765728,0.08371028364654981,0.6230866579164003,0.26371256924466097,1.673320053068151,0.7637996120811239,74.08919444444443,0.0,18,10.0,0.0,,16.0
3,NSGA3,16,0.5834793680297953,0.2870402655253494,1.2961481396815722,0.8688764012591239,2.3716555522288454,0.08586228621511927,0.5834793680297953,0.2870402655253494,1.2961481396815722,0.8688764012591239,194.54239583333327,0.0,23,7.0,0.175,0.2857142857142857,17.0
3,NSGA3,17,0.5663426691637079,0.3102498724134791,1.2489995996796797,0.8814994357210704,2.0727697324499337,0.08738060179972143,0.5663426691637079,0.3102498724134791,1.2489995996796797,0.8814994357210704,143.26842013888887,0.0,23,5.0,0.1,0.75,17.0
3,NSGA3,18,0.623273326575656,0.28525683643448474,1.1661903789690602,0.8570173157416804,2.9237843740217833,0.09460180129277251,0.623273326575656,0.28525683643448474,1.1661903789690602,0.8570173157416804,300.5047881944444,0.0,22,5.0,0.1,0.5,21.0
3,NSGA3,19,0.5864598300080976,0.2838110934360526,1.2806248474865698,0.8725682215625877,2.4097966229829395,0.09976293350844362,0.5864598300080976,0.2838110934360526,1.2806248474865698,0.8725682215625877,178.18152083333325,0.0,21,6.0,0.15,0.5,17.0
3,NSGA3,20,0.6207968170070408,0.3134980111038045,1.148912529307606,0.8660251650261251,2.662894219993656,0.09334441870164752,0.6207968170070408,0.3134980111038045,1.148912529307606,0.8660251650261251,230.11063888888884,0.0,23,5.0,0.1,0.5,18.0
3,NSGA3,21,0.62782088418133,0.29211381670626907,1.2961481396815722,0.8474774610030245,2.8861843103089755,0.08964372189789263,0.62782088418133,0.29211381670626907,1.2961481396815722,0.8474774610030245,281.5152951388888,0.0,23,6.0,0.125,0.4,17.0
3,NSGA3,22,0.5992165046718104,0.345713205426323,1.019803902718557,0.8474635097127796,2.6560058793017576,0.08864252606616407,0.5992165046718104,0.345713205426323,1.019803902718557,0.8474635097127796,231.4687256944444,0.0,26,5.0,0.125,0.6,17.0
3,NSGA3,23,0.5652852773123687,0.3256964947440001,1.2328828005937953,0.844859611662214,1.8723523162241746,0.0894299668900347,0.5652852773123687,0.3256964947440001,1.2328828005937953,0.844859611662214,123.39842013888885,0.0,23,7.0,0.05,0.5,16.0
3,NSGA3,24,0.6161944894154999,0.2804013254506773,1.216552506059644,0.7170714058158483,2.1764236480762116,0.09515100938834734,0.6161944894154999,0.2804013254506773,1.216552506059644,0.7170714058158483,113.67105208333332,0.0,26,7.0,0.05,0.0,20.0
3,NSGA3,25,0.614758983309593,0.28269787405994184,1.1832159566199234,0.8290010260014533,2.546428305067674,0.0917150392313682,0.614758983309593,0.28269787405994184,1.1832159566199234,0.8290010260014533,231.5007534722222,0.0,23,6.0,0.075,0.6666666666666666,17.0
3,NSGA3,26,0.6411992287213663,0.25858871705799336,1.4422205101855958,0.8126449327561585,2.531076631390717,0.0936933832304738,0.6411992287213663,0.25858871705799336,1.4422205101855958,0.8126449327561585,183.5121388888889,0.0,19,6.0,0.05,0.5,17.0
3,NSGA3,27,0.6401197735523223,0.27615462372053295,1.3711309200802089,0.7300996662916147,2.443486325465114,0.08773588445183236,0.6401197735523223,0.27615462372053295,1.3711309200802089,0.7300996662916147,196.07907638888886,0.0,20,6.0,0.025,0.0,16.0
3,NSGA3,28,0.5857409831571498,0.28025608808420627,1.2000000000000002,0.8521692897268931,2.428536143260684,0.08780062788962659,0.5857409831571498,0.28025608808420627,1.2000000000000002,0.8521692897268931,196.58360069444439,0.0,24,6.0,0.075,0.6666666666666666,17.0
3,NSGA3,29,0.5936895194299927,0.28413802730709137,1.4282856857085702,0.8810939174651882,2.5775031668259842,0.07739036696629818,0.5936895194299927,0.28413802730709137,1.4282856857085702,0.8810939174651882,166.3664548611111,0.0,21,7.0,0.075,0.3333333333333333,15.0
3,PAA-NSGA-II,0,0.5200131215500923,0.3160479024799819,1.6370705543744901,0.7673458163332926,1.8799811475979484,0.03996753825723747,0.5200131215500923,0.3160479024799819,1.6370705543744901,0.7673458163332926,127.76093402777778,0.0,16,8.0,0.1,0.0,60.0
3,PAA-NSGA-II,1,0.5863565719203694,0.3030288294666644,1.4142135623730951,0.697433747991502,2.185259170910249,0.057566119364682804,0.5863565719203694,0.3030288294666644,1.4142135623730951,0.697433747991502,145.5478125,0.0,19,6.0,0.05,0.0,60.0
3,PAA-NSGA-II,2,0.5774562905396214,0.3264559441881443,1.4422205101855958,0.9081764103548011,3.0255064570507466,0.04851135323627015,0.5774562905396214,0.3264559441881443,1.4422205101855958,0.9081764103548011,370.1550972222222,0.0,20,7.0,0.075,0.6666666666666666,60.0
3,PAA-NSGA-II,3,0.6004013319292824,0.2799531030453348,1.4000000000000001,0.6303549935154941,2.869481369836453,0.052098691749369104,0.6004013319292824,0.2799531030453348,1.4000000000000001,0.6303549935154941,215.06266319444444,0.0,20,6.0,0.0,,60.0
3,PAA-NSGA-II,4,0.571524528775562,0.28494546325540127,1.61245154965971,0.7597365236621009,1.8183392660776672,0.05269493877247106,0.571524528775562,0.28494546325540127,1.61245154965971,0.7597365236621009,108.56928819444443,0.0,20,9.0,0.075,0.3333333333333333,60.0
3,PAA-NSGA-II,5,0.5684774895793077,0.3346401368233356,1.2165525060596443,0.8056587068153022,2.625263508997561,0.05221489720769542,0.5684774895793077,0.3346401368233356,1.2165525060596443,0.8056587068153022,183.01144444444444,0.0,22,6.0,0.125,0.6,60.0
3,PAA-NSGA-II,6,0.5981707820579041,0.32039869533144893,1.4000000000000001,0.7608141732526759,2.551583200547309,0.05362990222605328,0.5981707820579041,0.32039869533144893,1.4000000000000001,0.7608141732526759,244.67749305555554,0.0,22,6.0,0.075,0.6666666666666666,60.0
3,PAA-NSGA-II,7,0.587635085885567,0.30080154911792456,1.5491933384829668,0.9251279124925651,3.076550162583157,0.04374466414622663,0.587635085885567,0.30080154911792456,1.5491933384829668,0.9251279124925651,300.8827256944444,0.0,18,8.0,0.1,0.5,60.0
3,PAA-NSGA-II,8,0.5631604382972455,0.2900864140896543,1.50996688705415,0.8863162693017743,2.5331462965680593,0.059007023505736944,0.5631604382972455,0.2900864140896543,1.50996688705415,0.8863162693017743,245.1741597222222,0.0,20,7.0,0.05,0.5,60.0
3,PAA-NSGA-II,9,0.5551788972218422,0.3616070043887016,1.2649110640673518,0.7185658444248608,2.389093269933307,0.04411889864684466,0.5551788972218422,0.3616070043887016,1.2649110640673518,0.7185658444248608,211.01235763888886,0.0,23,7.0,0.075,0.3333333333333333,60.0
3,PAA-NSGA-II,10,0.6208063085734716,0.262145994844606,1.8220867158288596,0.8719258759349383,2.687388111716719,0.05461259632704743,0.6208063085734716,0.262145994844606,1.8220867158288596,0.8719258759349383,199.49349652777775,0.0,15,10.0,0.05,0.5,60.0
3,PAA-NSGA-II,11,0.5746786113906986,0.30482889589238094,1.5231546211727816,0.6872344227680278,2.0492902515425264,0.0486742241524204,0.5746786113906986,0.30482889589238094,1.5231546211727816,0.6872344227680278,293.87549999999993,0.0,20,7.0,0.0,,60.0
3,PAA-NSGA-II,12,0.597628145453488,0.31298762065128044,1.5748015748023623,0.9009756346394239,2.9288384497997972,0.03352940571640355,0.597628145453488,0.31298762065128044,1.5748015748023623,0.9009756346394239,264.3038055555555,0.0,17,7.0,0.125,0.2,60.0
3,PAA-NSGA-II,13,0.583494278638206,0.34910582463151757,1.3266499161421599,0.567906970204761,1.80195851460697,0.04418935375306478,0.583494278638206,0.34910582463151757,1.3266499161421599,0.567906970204761,108.19646527777778,0.0,18,5.0,0.075,0.0,60.0
3,PAA-NSGA-II,14,0.5959735555856012,0.31167926867665174,1.4000000000000001,0.8968591178018468,2.853614810070488,0.04857256739729667,0.5959735555856012,0.31167926867665174,1.4000000000000001,0.8968591178018468,248.27418749999998,0.0,20,6.0,0.125,0.6,60.0
3,PAA-NSGA-II,15,0.596534807289499,0.28787702608315463,1.2806248474865698,0.6225825130415796,2.6443596669138585,0.05414587437261892,0.596534807289499,0.28787702608315463,1.2806248474865698,0.6225825130415796,199.7096909722222,0.0,22,5.0,0.075,0.6666666666666666,60.0
3,PAA-NSGA-II,16,0.5976469192706866,0.33980669588187346,1.3711309200802089,0.8425273977581818,2.868078569327659,0.05258510774765372,0.5976469192706866,0.33980669588187346,1.3711309200802089,0.8425273977581818,230.03776736111104,0.0,21,6.0,0.05,0.5,60.0
3,PAA-NSGA-II,17,0.5553457069274115,0.32804621721310884,1.2649110640673518,0.7078456377303464,2.9691948320103405,0.04360560392309989,0.5553457069274115,0.32804621721310884,1.2649110640673518,0.7078456377303464,201.7364861111111,0.0,22,5.0,0.1,0.5,60.0
3,PAA-NSGA-II,18,0.5574419741641796,0.32236887799833563,1.385640646055102,0.7475854828324502,2.9900603333017637,0.04275919004379647,0.5574419741641796,0.32236887799833563,1.385640646055102,0.7475854828324502,328.20709027777775,0.0,19,6.0,0.1,0.5,60.0
3,PAA-NSGA-II,19,0.6208638470434653,0.2791587984413745,1.7204650534085253,0.8970967346045551,3.0306700375837408,0.043643743635286836,0.6208638470434653,0.2791587984413745,1.7204650534085253,0.8970967346045551,300.2480833333333,0.0,17,8.0,0.125,0.4,60.0
3,PAA-NSGA-II,20,0.5791033578203816,0.35686970665480666,1.2806248474865698,0.6718851890578756,1.5851444639941266,0.05507338361697177,0.5791033578203816,0.35686970665480666,1.2806248474865698,0.6718851890578756,78.40305555555555,0.0,22,6.0,0.075,0.3333333333333333,60.0
3,PAA-NSGA-II,21,0.5303408994281305,0.30589360955280687,1.61245154965971,0.6705186070572104,1.4054970187985245,0.047563551712332786,0.5303408994281305,0.30589360955280687,1.61245154965971,0.6705186070572104,90.05270138888889,0.0,19,9.0,0.05,0.0,60.0
3,PAA-NSGA-II,22,0.547016610935017,0.3424983883684452,1.1661903789690602,0.6111929166421395,1.8814775477590793,0.051205653704501135,0.547016610935017,0.3424983883684452,1.1661903789690602,0.6111929166421395,95.69678819444445,0.0,22,5.0,0.075,0.0,60.0
3,PAA-NSGA-II,23,0.5660608777359185,0.3620121426651986,1.2328828005937953,0.7191415742507894,2.2166799837912246,0.05282434171999371,0.5660608777359185,0.3620121426651986,1.2328828005937953,0.7191415742507894,112.01304861111109,0.0,23,7.0,0.1,0.25,60.0
3,PAA-NSGA-II,24,0.6003886168672794,0.28045077880869035,1.5491933384829668,0.8697320663742808,3.375276318126732,0.04894580424052966,0.6003886168672794,0.28045077880869035,1.5491933384829668,0.8697320663742808,359.7811284722222,0.0,19,8.0,0.025,0.0,60.0
3,PAA-NSGA-II,25,0.5802285819995048,0.29618208197595414,1.6970562748477138,0.6791155807112369,1.7753402885206295,0.049443307212455344,0.5802285819995048,0.29618208197595414,1.6970562748477138,0.6791155807112369,92.54315277777778,0.0,19,10.0,0.075,0.0,60.0
3,PAA-NSGA-II,26,0.6100951161166897,0.29753720522947547,1.6492422502470643,0.8476059943010806,2.6718450816576014,0.054855900048806354,0.6100951161166897,0.29753720522947547,1.6492422502470643,0.8476059943010806,182.87943055555556,0.0,17,8.0,0.025,0.0,60.0
3,PAA-NSGA-II,27,0.566282730852595,0.35923347683488727,0.9797958971132712,0.7097149118829718,2.91619873792534,0.0476083120366492,0.566282730852595,0.35923347683488727,0.9797958971132712,0.7097149118829718,265.2836493055555,0.0,29,5.0,0.075,0.6666666666666666,60.0
3,PAA-NSGA-II,28,0.6255716397136629,0.28006869014559865,1.7776388834631178,0.8789891752789586,2.877928942818495,0.040828788570650504,0.6255716397136629,0.28006869014559865,1.7776388834631178,0.8789891752789586,278.8480243055555,0.0,14,8.0,0.125,0.6,60.0
3,PAA-NSGA-II,29,0.5942711949628912,0.3192614682607319,1.5099668870541503,0.9288658118120037,2.9487098130399367,0.0422697300682718,0.5942711949628912,0.3192614682607319,1.5099668870541503,0.9288658118120037,249.54057986111107,0.0,17,7.0,0.15,0.5,60.0
3,PAA-noPriority,0,0.5815025161402232,0.3034806270657466,1.216552506059644,0.6829430347226741,2.9835194664363187,0.0407069530798823,0.5815025161402232,0.3034806270657466,1.216552506059644,0.6829430347226741,342.8380729166667,0.0,21,5.0,0.1,0.25,60.0
